20
45
1 5
2 12
3 8
4 15
5 6
6 18
7 9
8 7
9 10
10 13
11 11
12 17
13 6
14 16
15 20
16 22
17 5
18 9
19 8
20 23
0 1 2 12
1 1 3 13
2 1 4 10
3 1 5 14
4 1 6 8
5 1 7 11
6 1 8 8
7 1 15 15
8 1 19 13
9 2 18 10
10 3 4 6
11 4 7 11
12 4 12 10
13 4 15 9
14 5 7 13
15 5 16 12
16 5 17 11
17 5 19 10
18 6 9 12
19 6 17 10
20 7 8 10
21 7 11 11
22 7 13 13
23 7 18 9
24 8 14 12
25 8 19 14
26 9 10 8
27 9 11 9
28 9 15 10
29 10 16 11
30 10 17 9
31 11 16 10
32 11 18 7
33 13 15 9
34 13 18 8
35 15 18 11
36 15 19 14
37 15 20 8
38 16 17 9
39 16 19 11
40 17 19 10
41 17 20 12
42 18 19 9
43 18 20 7
44 19 20 8
